URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Men in Black: International,2019,,,"Action, Comedy, Sci-Fi",F. Gary Gray,"Tessa Thompson,Chris Hemsworth,Rebecca Ferguson,Liam Neeson"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Hellboy,2004,122 min,PG-13,"Action, Fantasy, Horror",Guillermo del Toro,"Ron Perlman,Doug Jones,Selma Blair,John Hurt"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Kid Who Would Be King,2019,120 min,PG,"Action, Adventure, Family",Joe Cornish,"Louis Ashbourne Serkis,Denise Gough,Dean Chaumoo,Tom Taylor"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Iron Man,2008,126 min,PG-13,"Action, Adventure, Sci-Fi",Jon Favreau,"Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,Jeff Bridges"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Bonnie and Clyde,1967,111 min,R,"Action, Biography, Crime",Arthur Penn,"Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Gladiator,2000,155 min,R,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Solo: A Star Wars Story,2018,135 min,PG-13,"Action, Adventure, Fantasy",Ron Howard,"Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Donald Glover"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Wonder Woman,2017,141 min,PG-13,"Action, Adventure, Fantasy",Patty Jenkins,"Gal Gadot,Chris Pine,Robin Wright,Lucy Davis"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Inception,2010,148 min,PG-13,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Ken Watanabe"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Incredible Hulk,2008,112 min,PG-13,"Action, Adventure, Sci-Fi",Louis Leterrier,"Edward Norton,Liv Tyler,Tim Roth,William Hurt"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Captain America: Civil War,2016,147 min,PG-13,"Action, Adventure, Sci-Fi",Anthony Russo,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Mission: Impossible - Fallout,2018,147 min,PG-13,"Action, Adventure, Thriller",Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Lego Movie 2: The Second Part,2019,107 min,PG,"Animation, Action, Adventure",Mike Mitchell,"Chris Pratt,Elizabeth Banks,Will Arnett,Tiffany Haddish"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Fast & Furious Presents: Hobbs & Shaw,2019,,,"Action, Adventure",David Leitch,"Dwayne Johnson,Idris Elba,Jason Statham,Eiza González"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Incredibles 2,2018,118 min,PG,"Animation, Action, Adventure",Brad Bird,"Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Thor,2011,115 min,PG-13,"Action, Adventure, Fantasy",Kenneth Branagh,"Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Captain America: The Winter Soldier,2014,136 min,PG-13,"Action, Adventure, Sci-Fi",Anthony Russo,"Chris Evans,Samuel L. Jackson,Scarlett Johansson,Robert Redford"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Mad Max: Fury Road,2015,120 min,R,"Action, Adventure, Sci-Fi",George Miller,"Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Ocean's 8,2018,110 min,PG-13,"Action, Comedy, Crime",Gary Ross,"Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling"
