,id1,id2
720,2045,2114
721,2048,2026
722,2048,2853
723,2048,2996
724,2051,1634
725,2054,1682
726,206,1628
727,206,27
728,206,110
729,206,178
730,206,2856
731,206,2228
732,2060,3059
733,2063,1660
734,2066,1395
735,2075,1990
736,2075,2257
737,2075,2754
738,2081,360
739,2087,1575
740,2087,2567
741,209,2589
742,209,2492
743,209,2697
744,209,2876
745,209,2979
746,209,2243
747,209,2649
748,209,2758
749,209,2789
750,209,2073
751,209,2452
752,209,2208
753,209,206
754,209,579
755,209,1469
756,209,1210
757,209,2035
758,209,44
759,209,26
760,209,1117
761,209,71
762,209,1843
763,209,1094
764,209,1954
765,209,1348
766,209,1429
767,209,178
768,209,367
769,209,393
770,2093,2174
771,2093,1409
772,2096,2047
773,2108,1514
774,2111,2269
775,2111,3038
776,2111,610
777,2111,709
778,2114,751
779,2117,3038
780,2117,1205
781,212,393
782,212,1388
783,212,1843
784,212,1954
785,212,2208
786,212,2758
787,212,2657
788,212,2589
789,212,2492
790,212,2452
791,212,2680
792,212,2697
793,2120,2441
794,2120,1205
795,2123,1729
796,2126,2513
797,2132,1521
798,2138,2820
799,2138,1365
800,2138,973
801,2141,973
802,2141,185
803,2144,2223
804,2144,949
805,2144,973
806,2147,268
807,2147,2003
808,2147,228
809,215,2667
810,215,3061
811,215,1109
812,2150,1086
813,2156,3097
814,2174,951
815,2174,771
816,2180,3097
817,2183,2339
818,2186,1806
819,2192,2921
820,2192,3038
